Date,Average
1962-01-02,1.0
1962-01-03,0.9882355974865238
1962-01-04,0.9871041385149497
1962-01-05,0.9762960795132035
1962-01-08,0.9630028443878392
1962-01-09,0.9664654131053158
1962-01-10,0.9639015567895824
1962-01-11,0.9634645239692846
1962-01-12,0.9686548909356439
1962-01-15,0.9637632167289002
1962-01-16,0.955735243448467
1962-01-17,0.952306574629873
1962-01-18,0.9459604726629252
1962-01-19,0.9535763044023695
1962-01-22,0.9575885423680169
1962-01-23,0.9538026151282115
1962-01-24,0.9438072734283263
1962-01-25,0.9484039757562126
1962-01-26,0.9434810616860333
1962-01-29,0.9407679355117812
1962-01-30,0.9419923122865826
1962-01-31,0.9489243869395952
1962-02-01,0.9566286831395295
1962-02-02,0.9551866948838753
1962-02-05,0.9587129560315493
1962-02-06,0.9554961678412947
1962-02-07,0.9597981922380002
1962-02-08,0.9592591499475276
1962-02-09,0.9577294253490004
1962-02-12,0.9554269807162594
1962-02-13,0.9577863263564034
1962-02-14,0.9537015983691819
1962-02-15,0.9535584287518368
1962-02-16,0.956145030537619
1962-02-19,0.9538011211066345
1962-02-20,0.9545328234775278
1962-02-21,0.9532081204373428
1962-02-23,0.9450871443185004
1962-02-26,0.9418263785931816
1962-02-27,0.9412446794039452
1962-02-28,0.9410045951259169
1962-03-01,0.942843744596364
1962-03-02,0.9443511532205031
1962-03-05,0.9419798105684274
1962-03-06,0.9392980772108347
1962-03-07,0.9363134798542078
1962-03-08,0.9418497045131726
1962-03-09,0.944393306171425
1962-03-12,0.9440102672870109
1962-03-13,0.9475130487606066
1962-03-14,0.9532248245933127
1962-03-15,0.9532197961483493
1962-03-16,0.9513170248986677
1962-03-19,0.9504225383204647
1962-03-20,0.9475902152314775
1962-03-21,0.9482469396816224
1962-03-22,0.9476554234957887
1962-03-23,0.9500260575265639
1962-03-26,0.9465841302434853
1962-03-27,0.9381683447285152
1962-03-28,0.9373659490467602
1962-03-29,0.9407386501881967
1962-03-30,0.9366716562821451
1962-04-02,0.9341559692794505
1962-04-03,0.9307354106631945
1962-04-04,0.9205542288686897
1962-04-05,0.9170102853227605
1962-04-06,0.9234877303703104
1962-04-09,0.9175115665637265
1962-04-10,0.9167047061637202
1962-04-11,0.9209437229587202
1962-04-12,0.9091446034952949
1962-04-13,0.9060991173738511
1962-04-16,0.9050234322496507
1962-04-17,0.9029208715085367
1962-04-18,0.9090218711733278
1962-04-19,0.9118243573174467
1962-04-23,0.9166968195995285
1962-04-24,0.9173571599958374
1962-04-25,0.9131341579481238
1962-04-26,0.9060317586981386
1962-04-27,0.8981303945204853
1962-04-30,0.8878876073099212
1962-05-01,0.8748447745932585
1962-05-02,0.8863087402288763
1962-05-03,0.8883748085169197
1962-05-04,0.8880913889919843
1962-05-07,0.8866472740416481
1962-05-08,0.8822982558437427
1962-05-09,0.8691197428735914
1962-05-10,0.8596806658050744
1962-05-11,0.8568883637358666
1962-05-14,0.8527038875575447
1962-05-15,0.870548686299278
1962-05-16,0.8669992249034024
1962-05-17,0.861226698130244
1962-05-18,0.8551774908194159
1962-05-21,0.8531189975294763
1962-05-22,0.8482721064326719
1962-05-23,0.8336628979517817
1962-05-24,0.8218515351913063
1962-05-25,0.8099914107406488
1962-05-28,0.7865174682393224
1962-05-29,0.7824914044627369
1962-05-31,0.8069815669322619
1962-06-01,0.7990120561286039
1962-06-04,0.7868235679444194
1962-06-05,0.7735432375513273
1962-06-06,0.7823393820687286
1962-06-07,0.7778236905624678
1962-06-08,0.776917996017417
1962-06-11,0.7716642614945008
1962-06-12,0.7560845444289619
1962-06-13,0.7450685954334534
1962-06-14,0.7332710768398055
1962-06-15,0.737076678696241
1962-06-18,0.7461641530507204
1962-06-19,0.7379629751960731
1962-06-20,0.7396071872543662
1962-06-21,0.7217543906559265
1962-06-22,0.7097599958508547
1962-06-25,0.6973742535724189
1962-06-26,0.7049636755598754
1962-06-27,0.6949837725725749
1962-06-28,0.7212539788992534
1962-06-29,0.7328299303405312
1962-07-02,0.7384974330458403
1962-07-03,0.7463720129890098
1962-07-05,0.7498234776026834
1962-07-06,0.7452169149957995
1962-07-09,0.7430302952611421
1962-07-10,0.7693454694452012
1962-07-11,0.7591761647575238
1962-07-12,0.769157443177066
1962-07-13,0.7649570927103588
1962-07-16,0.762305333444379
1962-07-17,0.7617639431755507
1962-07-18,0.7429510455244825
1962-07-19,0.7455280843937245
1962-07-20,0.7492481228748402
1962-07-23,0.7504763536499149
1962-07-24,0.7458862294578422
1962-07-25,0.7406287823006916
1962-07-26,0.7463358110228951
1962-07-27,0.7506219618960581
1962-07-30,0.76164366997852
1962-07-31,0.7712611289278157
1962-08-01,0.7673470109935395
1962-08-02,0.7677432220731578
1962-08-03,0.7688160575554703
1962-08-06,0.7669108640710516
1962-08-07,0.7582673641139269
1962-08-08,0.7586280912570811
1962-08-09,0.7591224158130169
1962-08-10,0.7599778377739527
1962-08-13,0.7578462401815574
1962-08-14,0.7626549360372686
1962-08-15,0.7737098508895717
1962-08-16,0.7766367601567461
1962-08-17,0.7790410797331532
1962-08-20,0.7882551130600972
1962-08-21,0.787356878456466
1962-08-22,0.789557664688346
1962-08-23,0.7941107981371264
1962-08-24,0.7872409761387346
1962-08-27,0.7862503691118978
1962-08-28,0.7800427123447264
1962-08-29,0.772367286511651
1962-08-30,0.7734209137210408
1962-08-31,0.7758410101031168
1962-09-04,0.7795733518102494
1962-09-05,0.7682280994691536
1962-09-06,0.7666149343214227
1962-09-07,0.7715939583526337
1962-09-10,0.7694483730995345
