Date,High,Normalized High,Moving Average,Label,Actual Next Day
2018-04-18,79.620003,0.9973694225887656,0.9780997529335077,0.9942377679008452,79.370003
2018-04-19,79.370003,0.9942377679008452,0.9785336977419677,0.9949893274460899,79.43
2018-04-20,79.43,0.9949893274460899,0.9788959027587932,0.9994989227233141,79.790001
2018-04-23,79.790001,0.9994989227233141,0.9792445678169359,0.9943629589286496,79.379997
2018-04-24,79.379997,0.9943629589286496,0.9793102769607089,0.9510208705744491,75.919998
2018-04-25,75.919998,0.9510208705744491,0.9786447477776741,0.9468870613331565,75.589996
2018-04-26,75.589996,0.9468870613331565,0.9781232022841756,0.9366152464833962,74.769997
2018-04-27,74.769997,0.9366152464833962,0.9773262375563561,0.9306025195890639,74.290001
2018-04-30,74.290001,0.9306025195890639,0.9761696128828404,0.9035449729789561,72.129997
2018-05-01,72.129997,0.9035449729789561,0.9745620290991563,0.8860077818863139,70.730003
2018-05-02,70.730003,0.8860077818863139,0.9728010296076302,0.8781159494396606,70.099998
2018-05-03,70.099998,0.8781159494396606,0.971845877545314,0.8811223128868267,70.339996
2018-05-04,70.339996,0.8811223128868267,0.9707216753918808,0.8853814133688737,70.68
2018-05-07,70.68,0.8853814133688737,0.9698225178347488,0.8895152226101661,71.010002
2018-05-08,71.010002,0.8895152226101661,0.9691766946763402,0.902668122192957,72.059998
2018-05-09,72.059998,0.902668122192957,0.968468006262345,0.9148189549087072,73.029999
2018-05-10,73.029999,0.9148189549087072,0.9678858869695112,0.9219591150705471,73.599998
2018-05-11,73.599998,0.9219591150705471,0.9673012573020405,0.928222424446388,74.099998
2018-05-14,74.099998,0.928222424446388,0.9665345950777822,0.9166979602480784,73.18
2018-05-15,73.18,0.9166979602480784,0.9653436838141337,0.9061755503901905,72.339996
2018-05-16,72.339996,0.9061755503901905,0.9639752287624704,0.9016660553259163,71.980003
2018-05-17,71.980003,0.9016660553259163,0.9624361430795215,0.9035449729789561,72.129997
2018-05-18,72.129997,0.9035449729789561,0.9609956375886052,0.9160715917306379,73.129997
2018-05-21,73.129997,0.9160715917306379,0.9597812683621509,0.9155705144539519,73.089996
2018-05-22,73.089996,0.9155705144539519,0.9584175067470001,0.9012901816036533,71.949997
2018-05-23,71.949997,0.9012901816036533,0.956813569293961,0.9024176273977798,72.040001
2018-05-24,72.040001,0.9024176273977798,0.9552154041166421,0.9024176273977798,72.040001
2018-05-25,72.040001,0.9024176273977798,0.9540447008694746,0.8937742228792629,71.349998
2018-05-29,71.349998,0.8937742228792629,0.952938246878899,0.9002881272632313,71.870003
2018-05-30,71.870003,0.9002881272632313,0.9518665837113238,0.8962796092626931,71.550003
2018-05-31,71.550003,0.8962796092626931,0.950452539061153,0.9032944907103974,72.110001
2018-06-01,72.110001,0.9032944907103974,0.9488993660451601,0.9090567228095522,72.57
2018-06-04,72.57,0.9090567228095522,0.9473836447586527,0.9001628360224769,71.860001
2018-06-05,71.860001,0.9001628360224769,0.945719692025694,0.9101841686036787,72.660004
2018-06-06,72.660004,0.9101841686036787,0.9442227615024219,0.9169484550432556,73.199997
2018-06-07,73.199997,0.9169484550432556,0.9429724544921215,0.9182011920781363,73.300003
2018-06-08,73.300003,0.9182011920781363,0.9418685439871204,0.9238381329365369,73.75
2018-06-11,73.75,0.9238381329365369,0.9409318007736499,0.9041713414963964,72.18
2018-06-12,72.18,0.9041713414963964,0.9395396679761977,0.8994112639506135,71.800003
2018-06-13,71.800003,0.8994112639506135,0.9381079482632813,0.9079293647017571,72.480003
2018-06-14,72.480003,0.9079293647017571,0.9366194610642753,0.895778531986007,71.510002
2018-06-15,71.510002,0.895778531986007,0.9348824365973754,0.8981585269157328,71.699997
