Date,High,Normalized High,Moving Average,Label,Actual Next Day
2015-07-14,240.520004,1.0,0.9808001684589385,0.9936803426961526,239.0
2015-07-15,239.0,0.9936803426961526,0.9810559246083771,0.9949276526704199,239.300003
2015-07-16,239.300003,0.9949276526704199,0.9811971565436699,0.9935556171036817,238.970001
2015-07-17,238.970001,0.9935556171036817,0.9815069028301922,1.0,241.5
2015-07-20,241.5,1.0,0.9815069028301922,0.9971842939958593,240.820007
2015-07-21,240.820007,0.9971842939958593,0.9815300297898353,1.0,241.509995
2015-07-22,241.509995,1.0,0.9815856410035005,1.0,244.309998
2015-07-23,244.309998,1.0,0.9818896959736026,0.9942286275160953,242.899994
2015-07-24,242.899994,0.9942286275160953,0.9821524497461714,0.9930007285252404,242.600006
2015-07-27,242.600006,0.9930007285252404,0.9826070713018809,0.9907903891841545,242.059998
2015-07-28,242.059998,0.9907903891841545,0.9830522985821696,0.9923867176324073,242.449997
2015-07-29,242.449997,0.9923867176324073,0.9834497427691805,1.0,247.0
2015-07-30,247.0,1.0,0.984003685213104,0.9829554372469635,242.789993
2015-07-31,242.789993,0.9829554372469635,0.9844541065617197,0.9794736558704453,241.929993
2015-08-03,241.929993,0.9794736558704453,0.9848421650463569,0.9863157692307691,243.619995
2015-08-04,243.619995,0.9863157692307691,0.9851131486335947,0.9947773562753036,245.710007
2015-08-05,245.710007,0.9947773562753036,0.9856154361468629,0.9923886437246963,245.119995
2015-08-06,245.119995,0.9923886437246963,0.9861718005752529,0.9897975546558705,244.479996
2015-08-07,244.479996,0.9897975546558705,0.9866337021465338,1.0,248.389999
2015-08-10,248.389999,1.0,0.9872223119354097,0.9974234107549556,247.75
2015-08-11,247.75,0.9974234107549556,0.9877080341821662,0.9973831716147316,247.740005
2015-08-12,247.740005,0.9973831716147316,0.9880811414905626,1.0,256.519989
2015-08-13,256.519989,1.0,0.9884306966693196,0.9964525649500164,255.610001
2015-08-14,255.610001,0.9964525649500164,0.9887897385951301,0.995166107698531,255.279999
2015-08-17,255.279999,0.995166107698531,0.9890926722217965,0.9994933182380574,256.390015
2015-08-18,256.390015,0.9994933182380574,0.9894287266603514,1.0,258.149994
2015-08-19,258.149994,1.0,0.9897826150134784,0.9888437340037282,255.270004
2015-08-20,255.270004,0.9888437340037282,0.9900964532056247,0.9674220833024695,249.740005
2015-08-21,249.740005,0.9674220833024695,0.9900720423231628,0.9289173293569785,239.800003
2015-08-24,239.800003,0.9289173293569785,0.98945427412392,0.9353089390348776,241.449997
2015-08-25,241.449997,0.9353089390348776,0.9889242553988921,0.9269029810630173,239.279999
2015-08-26,239.279999,0.9269029810630173,0.9882100819663926,0.9480534986958009,244.740005
2015-08-27,244.740005,0.9480534986958009,0.9877610280594734,0.9453418503662643,244.039993
2015-08-28,244.039993,0.9453418503662643,0.987276891018739,0.940499704214597,242.789993
2015-08-31,242.789993,0.940499704214597,0.9868384400075466,0.9258183441987607,239.0
2015-09-01,239.0,0.9258183441987607,0.9861531331477941,0.9290335369909015,239.830002
2015-09-02,239.830002,0.9290335369909015,0.9854629131750344,0.9384079241930953,242.25
2015-09-03,242.25,0.9384079241930953,0.9847657105914376,0.9176447976210296,236.889999
2015-09-04,236.889999,0.9176447976210296,0.9836170124571677,0.9308929056182741,240.309998
2015-09-08,240.309998,0.9308929056182741,0.9827858932874726,0.9454968339065699,244.080002
2015-09-09,244.080002,0.9454968339065699,0.9823065058929282,0.9394925610573518,242.529999
2015-09-10,242.529999,0.9394925610573518,0.9816093250953446,0.953166777915943,246.059998
2015-09-11,246.059998,0.953166777915943,0.9810476039218199,0.9561882693671495,246.839996
2015-09-14,246.839996,0.9561882693671495,0.9803744643534302,0.970714707822151,250.589996
2015-09-15,250.589996,0.970714707822151,0.9798863761504661,0.9796242683623692,252.889999
2015-09-16,252.889999,0.9796242683623692,0.9795770337414859,0.990005860701279,255.570007
2015-09-17,255.570007,0.990005860701279,0.979410464753174,0.9738524107809974,251.399994
2015-09-18,251.399994,0.9738524107809974,0.9790062482724001,0.9646330032453924,249.020004
2015-09-21,249.020004,0.9646330032453924,0.97841679832649,0.9533991893100722,246.119995
2015-09-22,246.119995,0.9533991893100722,0.9776401181483244,0.962773576512266,248.539993
2015-09-23,248.539993,0.962773576512266,0.9772128291314742,0.9657951299429433,249.320007
2015-09-24,249.320007,0.9657951299429433,0.9769755964984588,0.9896959556001385,255.490005
2015-09-25,255.490005,0.9896959556001385,0.9769791953480722,0.9805539836657909,253.130005
2015-09-28,253.130005,0.9805539836657909,0.9767448996445971,0.9575440935319177,247.190002
2015-09-29,247.190002,0.9575440935319177,0.976048705226351,0.9705210103549334,250.539993
2015-09-30,250.539993,0.9705210103549334,0.9755573887322666,0.9818323179972648,253.460007
2015-10-01,253.460007,0.9818323179972648,0.9753122369307676,0.9776874099017023,252.389999
2015-10-02,252.389999,0.9776874099017023,0.9749574391370055,0.9877978149401003,255.0
2015-10-05,255.0,0.9877978149401003,0.9747540693860072,0.9915553242275109,255.970001
2015-10-06,255.970001,0.9915553242275109,0.974613324789799,0.9874104200056654,254.899994
2015-10-07,254.899994,0.9874104200056654,0.9744034984565602,0.9848925272491,254.25
2015-10-08,254.25,0.9848925272491,0.974257034865776,0.9868681035103957,254.759995
2015-10-09,254.759995,0.9868681035103957,0.9741227090464423,1.0,258.859985
2015-10-12,258.859985,1.0,0.9742301154280476,0.9937032600847906,257.230011
2015-10-13,257.230011,0.9937032600847906,0.9741251697627942,0.9751990134744077,252.440002
2015-10-14,252.440002,0.9751990134744077,0.97375874842077,0.9734606335544677,251.990005
2015-10-15,251.990005,0.9734606335544677,0.9733164256466778,0.9814958731454767,254.070007
2015-10-16,254.070007,0.9814958731454767,0.9730080235324358,0.984972632985357,254.970001
2015-10-19,254.970001,0.984972632985357,0.9728537569569233,0.9781349442634018,253.199997
2015-10-20,253.199997,0.9781349442634018,0.9726059938858928,0.9802210449791998,253.740005
2015-10-21,253.740005,0.9802210449791998,0.9724298381491435,0.9946303635921173,257.470001
2015-10-22,257.470001,0.9946303635921173,0.9724672322484721,1.0,260.390015
2015-10-23,260.390015,1.0,0.9724672322484721,1.0,262.920013
2015-10-26,262.920013,1.0,0.972751308294356,0.9966529592404972,262.040009
2015-10-27,262.040009,0.9966529592404972,0.9730376300171902,1.0,263.660004
2015-10-28,263.660004,1.0,0.9732657005300107,1.0,277.959991
2015-10-29,277.959991,1.0,0.973352744592089,0.9986688911642683,277.589996
2015-10-30,277.589996,0.9986688911642683,0.9734574153827485,0.9989207547499166,277.660004
2015-11-02,277.660004,0.9989207547499166,0.9736094687176493,0.9858613033269237,274.029999
2015-11-03,274.029999,0.9858613033269237,0.973373823773098,0.9806087776136098,272.570007
2015-11-04,272.570007,0.9806087776136098,0.973093579887409,0.9870484741813076,274.359985
2015-11-05,274.359985,0.9870484741813076,0.9729213349301852,0.9877320365865172,274.549988
2015-11-06,274.549988,0.9877320365865172,0.9727168688732938,0.9778026255584387,271.790009
2015-11-09,271.790009,0.9778026255584387,0.9724060365501008,0.9852856665260146,273.869995
2015-11-10,273.869995,0.9852856665260146,0.9722413625305589,0.9855735388910701,273.950012
2015-11-11,273.950012,0.9855735388910701,0.9720093662081091,0.971290904236646,269.980011
2015-11-12,269.980011,0.971290904236646,0.9715308812787199,0.9633400405456194,267.769989
2015-11-13,267.769989,0.9633400405456194,0.9711058197210847,0.9589150152188629,266.540009
2015-11-16,266.540009,0.9589150152188629,0.9709640352530245,0.97168659067916,270.089996
2015-11-17,270.089996,0.97168659067916,0.971676856275061,0.970175643011875,269.670013
2015-11-18,269.670013,0.970175643011875,0.972257968008011,0.9756080075567423,271.179993
2015-11-19,271.179993,0.9756080075567423,0.9730697184495731,0.9746726930927263,270.920013
2015-11-20,270.920013,0.9746726930927263,0.973513371689522,0.9780903863966524,271.869995
2015-11-23,271.869995,0.9780903863966524,0.9740591806233618,0.9689164474033962,269.320007
2015-11-24,269.320007,0.9689164474033962,0.9745327930098419,0.9743488119482635,270.829987
2015-11-25,270.829987,0.9743488119482635,0.9753416341390001,0.9711829786323457,269.950012
2015-11-27,269.950012,0.9711829786323457,0.9760441248330243,0.9688085253967359,269.290009
2015-11-30,269.290009,0.9688085253967359,0.9765508015197517,0.9612534560774252,267.190002
2015-12-01,267.190002,0.9612534560774252,0.9772776124940249,0.9482659214793254,263.579987
2015-12-02,263.579987,0.9482659214793254,0.9775671627583759,0.9470068338000486,263.230011
2015-12-03,263.230011,0.9470068338000486,0.9775923294232671,0.9318247891294543,259.01001
2015-12-04,259.01001,0.9318247891294543,0.9774645332244689,0.9342351468129095,259.679993
2015-12-07,259.679993,0.9342351468129095,0.9771490060394183,0.9341992423650639,259.670013
2015-12-08,259.670013,0.9341992423650639,0.9767825222560502,0.9435530201898733,262.269989
2015-12-09,262.269989,0.9435530201898733,0.9763298274621789,0.9353504044400404,259.98999
2015-12-10,259.98999,0.9353504044400404,0.9755919297301401,0.9184415069289594,255.289993
2015-12-11,255.289993,0.9184415069289594,0.9743991905006014,0.9074327391239554,252.229996
2015-12-14,252.229996,0.9074327391239554,0.973292195972984,0.9131170176214317,253.809998
2015-12-15,253.809998,0.9131170176214317,0.9724335962125846,0.9295942702775523,258.390015
2015-12-16,258.390015,0.9295942702775523,0.9720368475620428,0.9349547179975264,259.880005
2015-12-17,259.880005,0.9349547179975264,0.9715731999201304,0.9128652080003845,253.740005
2015-12-18,253.740005,0.9128652080003845,0.9706910345544212,0.9162109880770575,254.669998
2015-12-21,254.669998,0.9162109880770575,0.969466285095703,0.9197366609498847,255.649994
2015-12-22,255.649994,0.9197366609498847,0.968452663050438,0.9156353548737883,254.509995
2015-12-23,254.509995,0.9156353548737883,0.9677541840728024,0.9165707736693659,254.770004
2015-12-24,254.770004,0.9165707736693659,0.9668550134613763,0.9209958565583635,256.0
2015-12-28,256.0,0.9209958565583635,0.9658410724373945,0.9370053980178752,260.450012
2015-12-29,260.450012,0.9370053980178752,0.9651630389059973,0.9339473823770559,259.600006
2015-12-30,259.600006,0.9339473823770559,0.9642655316966132,0.9260685434401241,257.410004
2015-12-31,257.410004,0.9260685434401241,0.9631740853501568,0.9028637758158511,250.960007
2016-01-04,250.960007,0.9028637758158511,0.9617649746136598,0.8975752377254897,249.490005
2016-01-05,249.490005,0.8975752377254897,0.960309686454933,0.8797668762336376,244.539993
2016-01-06,244.539993,0.8797668762336376,0.9585246660003204,0.8789034785945147,244.300003
2016-01-07,244.300003,0.8789034785945147,0.9565063906435624,0.8688300756204874,241.5
2016-01-08,241.5,0.8688300756204874,0.9544251709024906,0.8623903250881887,239.710007
